Symmetric group,Partition,Conjugacy class size
S2,1+1,1
S2,2,1
S3,1+1+1,1
S3,2+1,3
S3,3,2
S4,1+1+1+1,1
S4,2+1+1,6
S4,2+2,3
S4,3+1,8
S4,4,6
S5,1+1+1+1+1,1
S5,2+1+1+1,10
S5,2+2+1,15
S5,3+1+1,20
S5,3+2,20
S5,4+1,30
S5,5,24
S6,1+1+1+1+1+1,1
S6,2+1+1+1+1,15
S6,2+2+1+1,45
S6,2+2+2,15
S6,3+1+1+1,40
S6,3+2+1,120
S6,3+3,40
S6,4+1+1,90
S6,4+2,90
S6,5+1,144
S6,6,120
S7,1+1+1+1+1+1+1,1
S7,2+1+1+1+1+1,21
S7,2+2+1+1+1,105
S7,2+2+2+1,105
S7,3+1+1+1+1,70
S7,3+2+1+1,420
S7,3+2+2,210
S7,3+3+1,280
S7,4+1+1+1,210
S7,4+2+1,630
S7,4+3,420
S7,5+1+1,504
S7,5+2,504
S7,6+1,840
S7,7,720
S8,1+1+1+1+1+1+1+1,1
S8,2+1+1+1+1+1+1,28
S8,2+2+1+1+1+1,210
S8,2+2+2+1+1,420
S8,2+2+2+2,105
S8,3+1+1+1+1+1,112
S8,3+2+1+1+1,1120
S8,3+2+2+1,1680
S8,3+3+1+1,1120
S8,3+3+2,1120
S8,4+1+1+1+1,420
S8,4+2+1+1,2520
S8,4+2+2,1260
S8,4+3+1,3360
S8,4+4,1260
S8,5+1+1+1,1344
S8,5+2+1,4032
S8,5+3,2688
S8,6+1+1,3360
S8,6+2,3360
S8,7+1,5760
S8,8,5040
