,1+1+1+1+1+1+1+1,2+1+1+1+1+1+1,2+2+1+1+1+1,2+2+2+1+1,2+2+2+2,3+1+1+1+1+1,3+2+1+1+1,3+2+2+1,3+3+1+1,3+3+2,4+1+1+1+1,4+2+1+1,4+2+2,4+3+1,4+4,5+1+1+1,5+2+1,5+3,6+1+1,6+2,7+1,8
1+1+1+1+1+1+1+1,1,7,20,28,14,21,64,70,56,42,35,90,56,70,14,35,64,28,21,20,7,1
2+1+1+1+1+1+1,-1,-5,-10,-10,-4,-9,-16,-10,-4,0,-5,0,4,10,4,5,16,10,9,10,5,1
2+2+1+1+1+1,1,3,4,4,2,1,0,2,0,2,-5,-6,0,2,2,-5,0,4,1,4,3,1
2+2+2+1+1,-1,-1,-2,-2,0,3,0,2,-4,0,3,0,4,-2,0,-3,0,2,-3,2,1,1
2+2+2+2,1,-1,4,-4,6,-3,0,-2,8,-6,3,-6,8,-2,6,3,0,-4,-3,4,-1,1
3+1+1+1+1+1,1,4,5,1,-1,6,4,-5,-4,-6,5,0,-4,-5,-1,5,4,1,6,5,4,1
3+2+1+1+1,-1,-2,-1,-1,-1,0,2,-1,2,0,1,0,-2,1,1,-1,-2,1,0,1,2,1
3+2+2+1,1,0,1,1,-1,-2,0,-1,0,2,1,0,0,-1,-1,1,0,1,-2,1,0,1
3+3+1+1,1,1,-1,1,2,0,-2,1,-1,0,2,0,-1,1,2,2,-2,1,0,-1,1,1
3+3+2,-1,1,-1,-1,2,0,2,-1,-1,0,-2,0,1,1,-2,2,-2,1,0,1,-1,1
4+1+1+1+1,-1,-3,-2,2,2,-3,0,4,0,0,-1,0,0,-4,-2,1,0,-2,3,2,3,1
4+2+1+1,1,1,0,0,0,-1,0,0,0,-2,-1,2,0,0,0,-1,0,0,-1,0,1,1
4+2+2,-1,1,-2,2,-2,1,0,0,0,0,-1,0,0,0,2,1,0,-2,-1,2,-1,1
4+3+1,-1,0,1,-1,-1,0,0,1,0,0,-1,0,0,-1,1,1,0,1,0,-1,0,1
4+4,1,-1,0,0,2,1,0,-2,0,2,-1,2,0,-2,2,-1,0,0,1,0,-1,1
5+1+1+1,1,2,0,-2,-1,1,-1,0,1,2,0,0,1,0,-1,0,-1,-2,1,0,2,1
5+2+1,-1,0,0,0,1,1,-1,0,1,0,0,0,-1,0,-1,0,1,0,-1,0,0,1
5+3,1,-1,0,1,-1,1,-1,0,1,-1,0,0,1,0,-1,0,-1,1,1,0,-1,1
6+1+1,-1,-1,1,1,0,0,0,-1,-1,0,0,0,1,1,0,0,0,-1,0,-1,1,1
6+2,1,-1,1,-1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,-1,0,1,-1,1
7+1,1,0,-1,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,-1,0,1
8,-1,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,1,0,-1,1
